Test,Train
52.443910256410255,40.22435897435897
57.8125,56.149839743589745
63.802083333333336,63.60376602564103
70.9735576923077,68.57972756410257
72.10536858974359,72.90665064102564
75.26041666666667,75.61097756410257
76.6025641025641,77.76241987179488
78.6358173076923,80.24238782051282
78.83613782051282,81.74879807692308
79.9579326923077,82.70633012820512
82.10136217948718,83.59975961538461
80.46875,84.42908653846153
81.86097756410257,85.29447115384616
81.5204326923077,86.01963141025641
82.06129807692308,86.54447115384616
83.06290064102564,87.0733173076923
84.50520833333333,87.68429487179488
83.01282051282051,88.25320512820512
84.82572115384616,88.65584935897436
81.06971153846153,89.34895833333333
84.66546474358974,89.65344551282051
84.0645032051282,90.0360576923077
83.65384615384616,90.56089743589743
85.02604166666667,90.90544871794872
84.98597756410257,91.2139423076923
85.18629807692308,91.6386217948718
84.77564102564102,91.90104166666667
85.0360576923077,92.50400641025641
84.05448717948718,92.76041666666667
85.2764423076923,92.82251602564102
85.95753205128206,93.15104166666667
85.546875,93.48357371794872
85.6670673076923,93.72796474358974
86.38822115384616,94.11458333333333
85.63701923076923,94.17467948717949
86.93910256410257,94.40504807692308
85.25641025641026,94.35096153846153
86.56850961538461,94.70953525641026
86.86899038461539,95.1542467948718
86.19791666666667,95.05809294871794
87.3798076923077,95.33653846153847
86.42828525641026,95.56290064102564
86.96915064102564,95.6650641025641
87.15945512820512,95.79927884615384
86.62860576923077,95.9795673076923
87.29967948717949,95.83733974358974
86.8389423076923,96.13782051282051
87.64022435897436,96.2920673076923
87.15945512820512,96.27604166666667
87.9707532051282,96.6005608974359
88.84214743589743,98.34535256410257
88.89222756410257,98.77604166666667
88.92227564102564,98.85616987179488
89.08253205128206,98.91826923076923
88.80208333333333,98.96434294871794
88.77203525641026,99.00040064102564
89.12259615384616,99.09054487179488
88.7920673076923,99.08052884615384
88.90224358974359,99.10857371794872
88.9823717948718,99.12459935897436
88.9423076923077,99.19270833333333
88.81209935897436,99.13261217948718
89.07251602564102,99.14463141025641
88.68189102564102,99.20472756410257
89.11258012820512,99.24078525641026
89.03245192307692,99.29086538461539
89.03245192307692,99.26282051282051
88.86217948717949,99.2568108974359
89.17267628205128,99.39503205128206
89.1826923076923,99.27884615384616
89.03245192307692,99.34895833333333
89.05248397435898,99.39102564102564
89.17267628205128,99.43709935897436
89.20272435897436,99.46314102564102
89.0625,99.38902243589743
89.1826923076923,99.48717948717949
89.21274038461539,99.50520833333333
89.1025641025641,99.50721153846153
89.1426282051282,99.51522435897436
89.23277243589743,99.51923076923077
89.20272435897436,99.48717948717949
89.28285256410257,99.55128205128206
89.26282051282051,99.48116987179488
89.23277243589743,99.54126602564102
89.22275641025641,99.5292467948718
89.38301282051282,99.5292467948718
89.27283653846153,99.56129807692308
89.27283653846153,99.50520833333333
89.25280448717949,99.51121794871794
89.31290064102564,99.58934294871794
89.21274038461539,99.63341346153847
89.31290064102564,99.55528846153847
89.26282051282051,99.55929487179488
89.1826923076923,99.52323717948718
89.27283653846153,99.50520833333333
89.1826923076923,99.56129807692308
89.25280448717949,99.60136217948718
89.4130608974359,99.56330128205128
89.34294871794872,99.54527243589743
89.36298076923077,99.54326923076923
